song_name,song_duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,audio_mode,speechiness,tempo,time_signature,audio_valence,song_popularity
3007,133120,0,0,0,0,7,0,-8,1,0,123,4,0,39
46,201526,0,0,0,0,1,0,-3,0,0,94,4,0,88
8369,216689,0,0,0,0,1,0,-7,0,0,133,5,0,77
6555,226183,0,0,0,0,9,0,-3,1,0,94,4,0,68
7991,215003,0,0,0,0,8,0,-4,1,0,99,4,0,46
6110,175239,0,0,0,0,7,0,-5,0,0,126,4,0,44
2812,161093,0,0,0,0,11,0,-4,0,0,119,4,0,37
8780,182224,0,0,0,0,10,0,-8,0,0,91,4,0,53
4927,215421,0,0,0,0,7,0,-5,0,0,166,4,0,65
1257,196018,0,0,0,0,5,0,-7,1,0,90,4,0,68
7599,204453,0,0,0,0,2,0,-4,1,0,78,4,0,59
574,229038,0,0,0,0,5,0,-5,1,0,84,4,0,43
5602,191906,0,0,0,0,10,0,-3,0,0,185,4,0,53
9836,237860,0,0,0,0,5,0,-2,1,0,175,4,0,54
3792,217288,0,0,0,0,5,0,-4,0,0,105,4,0,84
1198,202574,0,0,0,0,1,0,-5,1,0,100,4,0,44
10517,167823,0,0,0,0,7,0,-6,1,0,92,4,0,40
11747,241135,0,0,0,0,7,0,-4,1,0,105,4,0,41
5659,194011,0,0,0,0,2,0,-5,0,0,109,4,0,37
2415,236133,0,0,0,0,2,0,-6,0,0,99,4,0,79
9230,267266,0,0,0,0,4,0,-6,0,0,100,4,0,74
1141,241933,0,0,0,0,9,0,-5,1,0,129,4,0,10
11498,198813,0,0,0,0,5,0,-3,0,0,143,4,0,60
7223,300026,0,0,0,0,11,0,-2,0,0,117,4,0,70
12630,250373,0,0,0,0,2,0,-4,1,0,105,4,0,79
6521,338853,0,0,0,0,11,0,-3,0,0,159,4,0,76
4820,218093,0,0,0,0,10,0,-5,0,0,100,4,0,84
4774,216666,0,0,0,0,1,0,-4,0,0,97,4,0,77
8786,239600,0,0,0,0,5,0,-5,0,0,127,4,0,84
6749,246026,0,0,0,0,7,0,-6,0,0,117,4,0,74
